title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,edm,rock,country,latin,kpop
Last Night,Morgan Wallen,427314166,7K3BhSpAxZBznislvUMVtn,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,https://p.scdn.co/mp3-preview/48760562c770591058c71d16a5ac81d3833e72d2?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn,2023-03-03,4oUHIQIBe0LHzYfvXNW4QM,,,,,True,,
Bad Habit,Steve Lacy,425443932,4k6Uh1HXdhtusDW5y8Gbvy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,2022-07-15,57vWImR43h4CaDao012Ofp,,,,,,,
LOVE. FEAT. ZACARI.,Kendrick Lamar,424030815,6PGoSes0D9eUDeeAafB2As,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,https://p.scdn.co/mp3-preview/70e57d78cc283866f5d5f2a42deeaffad474309b?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,2017-04-14,2YZyLoL8N0Wb9xBt1NhZWg,True,,,,,,
Someone You Loved,Lewis Capaldi,412129838,7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,https://p.scdn.co/mp3-preview/d0a8c5301bb8468037f613b2f5d3f9ab232f8923?cid=e06033cb82944a2fabf676f565716d87,91.0,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-05-17,4GNC7GD6oZMSxPGyXy4MNB,,True,,,,,
Watermelon Sugar,Harry Styles,409630847,6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2019-12-13,6KImCVD70vtIoJWnq6nGn3,,True,,,,,
Wow.,Post Malone,405812776,7xQAfvXzm3AkraOtGPWIZg,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://p.scdn.co/mp3-preview/bd55cc4be61bf5a41ed75c21c747a73cea768bea?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,2019-09-06,246dkjvS1zLTtiykXe5h60,True,True,,,,,
Location,Khalid,403645089,152lZdxL1OR0ZMW6KquMif,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,https://p.scdn.co/mp3-preview/ed25b8c413329ab145c72c8bfce8b8558498299c?cid=e06033cb82944a2fabf676f565716d87,79.0,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-04-27,6LuN9FCkKOj5PcnpouEgny,True,True,,,,,
Dark Red,Steve Lacy,401445185,3EaJDYHA0KnX88JvDhL9oa,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,https://p.scdn.co/mp3-preview/90b3855fd50a4c4878a2d5117ebe73f658a97285?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/3EaJDYHA0KnX88JvDhL9oa,2017-02-20,57vWImR43h4CaDao012Ofp,,,,,,,
Closer,The Chainsmokers,397735618,7BKLCZ1jbUBVqRi2FVlTVw,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,69GGBxA162lTqCwzJG5jLp,,True,,,,,
Psycho,Post Malone,396525691,3swc6WTsr7rl9DqQKQA55C,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,https://p.scdn.co/mp3-preview/bb93a85d3a758a73f571fb053cc05050be9dc131?cid=e06033cb82944a2fabf676f565716d87,79.0,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2018-04-27,246dkjvS1zLTtiykXe5h60,True,True,,,,,
