title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,rock,edm,latin,kpop,country
good 4 u,Olivia Rodrigo,1622311439,4ZtFanR9U6ndgddUvNcjcG,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,2021-05-21,1McMsnEElThX1knmY4oliG,,True,,,,,
Flowers,Miley Cyrus,1611834040,7DSAEUvxU8FajXtRloy8M0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,https://p.scdn.co/mp3-preview/5184d19d1b7fcc3e7c067e38af45a7cc80851440?cid=e06033cb82944a2fabf676f565716d87,93.0,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,2023-08-18,5YGY8feqx7naU7z4HrwZM6,,True,,,,,
Me Porto Bonito,Bad Bunny,1597142155,6Sq7ltF9Qa7SNFBsV5Cogx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/5c80aedfe75d2bc15aa0e803993c43395d8054fe?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,2022-05-06,4q3ewBCX7sLwd24euuV69X,True,,,,True,,
drivers license,Olivia Rodrigo,1595963086,5wANPM4fQCJwkGd4rN57mH,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,https://p.scdn.co/mp3-preview/8265999e85ac5e27aad154a8fdbdd502059e1d00?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,2021-05-21,1McMsnEElThX1knmY4oliG,,True,,,,,
Save Your Tears,The Weeknd,1582418159,5QO79kh1waicV47BqGRL3g,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,https://p.scdn.co/mp3-preview/4bb5ee4441a2342502372f80f78a92cf3fe22549?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,2020-03-20,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
Levitating,Dua Lipa,1581427006,5nujrmhLynf4yMoMtj8AQF,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-03-27,6M2wZ9GZgrQXHCFfjv46we,,True,,True,,,
7 rings,Ariana Grande,1525751970,6ocbgoVGwYJhOv1GgI9NsF,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,https://p.scdn.co/mp3-preview/0cfcc895f05ea04c01524612069d8f5c3754c141?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,66CXWjxzNUsdJxJ2JdwvnR,,True,,,,,
SAD!,XXXTENTACION,1501007363,3ee8Jmje8o58CHK66QrVC2,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,https://p.scdn.co/mp3-preview/056a1074f4687ab09a2d548baf72ca3e2fa42d79?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018-03-16,15UsOTVnJzReFVN1VCnxy4,True,,,,,,
Kill Bill,SZA,1488792456,1Qrg8KqiBpW07V7PNxwwwL,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,2022-12-08,7tYKF4w9nC0nq9CsPZTHyP,True,True,,,,,
Bohemian Rhapsody - Remastered 2011,Queen,1481297086,7tFiyTwD0nx5a1eklYtX2J,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a,https://p.scdn.co/mp3-preview/fafa71e6ec5fb83cec5136e3e6a357c6233141ba?cid=e06033cb82944a2fabf676f565716d87,74.0,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,1975-11-21,1dfeR4HaWDbWqFHLkxsg1d,,,True,,,,
